,employed people with 16 yrs and over,unemployed people with 16 yrs and over,people in the labor force,unemployment rate,people with private health insurance,people with public health insurance,people without health insurance,people with a disability,male,female,people that are older than 65,median household income,median age
"Douglas County, Colorado: Summary level: 050, state:08> county:035",182234,5426,187660,2.9,294470,61213,9235,22459.0,167729,168312,38417,119730,38.7
"Lake County, Colorado: Summary level: 050, state:08> county:065",4249,182,4431,4.1,4461,2520,1078,1005.0,4308,3443,818,50565,36.7
"La Plata County, Colorado: Summary level: 050, state:08> county:067",29339,1243,30582,4.1,39188,17856,4619,4966.0,27999,27618,9150,68685,40.4
"Pitkin County, Colorado: Summary level: 050, state:08> county:097",11937,371,12308,3.0,13148,4444,1780,1166.0,9344,8582,3192,78935,41.8
"Rio Grande County, Colorado: Summary level: 050, state:08> county:105",4614,440,5054,8.7,5569,5589,1204,2255.0,5632,5673,2196,39123,42.1
"Bent County, Colorado: Summary level: 050, state:08> county:011",1454,89,1543,5.8,1886,2502,352,1041.0,3735,2052,1033,30900,40.2
"Crowley County, Colorado: Summary level: 050, state:08> county:025",1924,333,2257,14.8,2011,3053,297,1177.0,3654,2100,770,42135,35.4
"San Juan County, Colorado: Summary level: 050, state:08> county:111",344,7,351,2.0,324,265,52,76.0,292,297,146,54625,51.2
"Larimer County, Colorado: Summary level: 050, state:08> county:069",182498,8901,191399,4.7,260017,99695,20359,33093.0,172000,172786,52161,71881,36.0
"Logan County, Colorado: Summary level: 050, state:08> county:075",11271,382,11653,3.3,13321,9128,2024,3102.0,12086,10294,3838,53318,38.2
"San Miguel County, Colorado: Summary level: 050, state:08> county:113",5100,132,5232,2.5,6046,1952,696,441.0,4240,3809,1088,67038,41.8
"Teller County, Colorado: Summary level: 050, state:08> county:119",11875,726,12601,5.8,15908,9688,2089,3364.0,12480,12044,5163,66592,50.0
"Elbert County, Colorado: Summary level: 050, state:08> county:039",13760,283,14043,2.0,20192,7097,1353,2288.0,13020,12697,3984,99199,46.1
"Las Animas County, Colorado: Summary level: 050, state:08> county:071",5844,512,6356,8.1,7406,7577,1162,3286.0,7485,6781,3377,41817,45.9
"Lincoln County, Colorado: Summary level: 050, state:08> county:073",1499,41,1540,2.7,2247,1573,282,557.0,3561,2024,971,47258,38.0
"Summit County, Colorado: Summary level: 050, state:08> county:117",19805,648,20453,3.2,21325,6643,5075,1744.0,16696,13953,3914,79277,39.1
"Alamosa County, Colorado: Summary level: 050, state:08> county:003",6934,704,7638,9.2,7385,7902,1900,2732.0,8059,8048,2130,37515,31.8
"Delta County, Colorado: Summary level: 050, state:08> county:029",11012,780,11792,6.6,16147,15739,2505,5534.0,15453,15112,7727,45269,47.3
"Fremont County, Colorado: Summary level: 050, state:08> county:043",14327,833,15160,5.5,21155,19293,2506,6842.0,27599,19722,10010,49409,45.1
"Montrose County, Colorado: Summary level: 050, state:08> county:085",17659,1182,18841,6.3,22159,21114,4366,6539.0,20526,21160,9635,50489,45.2
"Morgan County, Colorado: Summary level: 050, state:08> county:087",13632,579,14211,4.1,18067,11237,2528,3155.0,14348,14169,4384,53682,36.2
"Saguache County, Colorado: Summary level: 050, state:08> county:109",2748,181,2929,6.2,2553,3772,876,1027.0,3283,3309,1475,38571,49.0
"Prowers County, Colorado: Summary level: 050, state:08> county:099",5494,278,5772,4.8,5934,6244,1191,2007.0,6132,5890,2092,41929,38.3
"Broomfield County, Colorado: Summary level: 050, state:08> county:014",38422,1263,39685,3.2,56581,15081,2925,5479.0,33817,34069,9026,96416,37.8
"Washington County, Colorado: Summary level: 050, state:08> county:121",2284,57,2341,2.4,2825,2175,214,508.0,2550,2318,977,50094,41.6
"Grand County, Colorado: Summary level: 050, state:08> county:049",8646,295,8941,3.3,10481,4377,1998,768.0,8087,7216,2561,71198,42.9
"Otero County, Colorado: Summary level: 050, state:08> county:089",7030,557,7587,7.3,9427,9284,1869,3805.0,8904,9378,3671,38169,39.9
"Sussex County, Delaware: Summary level: 050, state:10> county:005",99317,4501,103818,4.3,148201,105567,14814,31012.0,108502,115882,60489,63162,49.6
"District of Columbia, District of Columbia: Summary level: 050, state:11> county:001",376871,27967,404838,6.9,480363,243292,25179,79695.0,328644,364039,83670,86420,34.0
"New Haven County, Connecticut: Summary level: 050, state:09> county:009",430091,29621,459712,6.4,577764,328222,42392,97952.0,413519,443994,145741,69905,40.3
"Hartford County, Connecticut: Summary level: 050, state:09> county:003",451120,27985,479105,5.8,630060,320166,35782,103544.0,433975,459586,149889,75148,40.4
"Shelby County, Tennessee: Summary level: 050, state:47> county:157",435649,33372,469021,7.1,584328,331826,106515,115010.0,444834,491540,122695,51657,35.6
"Henderson County, Tennessee: Summary level: 050, state:47> county:077",11272,822,12094,6.8,15876,12735,2389,5091.0,13721,14256,5019,43305,41.5
"Jefferson County, Tennessee: Summary level: 050, state:47> county:089",23719,1356,25075,5.4,32093,22215,5358,10481.0,26332,27347,10538,49139,43.9
"Sequatchie County, Tennessee: Summary level: 050, state:47> county:153",6117,315,6432,4.9,8398,6698,1686,3590.0,7391,7425,2961,49370,44.1
"Carroll County, Tennessee: Summary level: 050, state:47> county:017",11173,624,11797,5.3,16801,12250,2501,6139.0,13613,14273,5555,42637,42.5
"Davidson County, Tennessee: Summary level: 050, state:47> county:037",380627,16378,397005,4.1,458986,202692,81087,78352.0,331298,356190,82207,60388,34.3
"Perry County, Tennessee: Summary level: 050, state:47> county:135",2765,259,3024,8.6,3616,3841,1257,1708.0,3941,4021,1632,41034,43.2
"Meigs County, Tennessee: Summary level: 050, state:47> county:121",4517,456,4973,9.2,7255,5213,1243,2392.0,5991,6113,2630,49167,46.0
"Haywood County, Tennessee: Summary level: 050, state:47> county:075",7328,533,7861,6.8,9487,8151,1918,3602.0,8238,9385,3152,37905,42.0
"Montgomery County, Tennessee: Summary level: 050, state:47> county:125",82421,5771,88192,6.5,135161,62557,14873,28127.0,99949,100231,18263,57541,30.8
"Grundy County, Tennessee: Summary level: 050, state:47> county:061",5034,472,5506,8.6,6723,6058,1925,3251.0,6599,6745,2740,40516,43.4
"Cocke County, Tennessee: Summary level: 050, state:47> county:029",13907,1307,15214,8.6,18217,17815,3956,8266.0,17255,18297,7413,36716,45.2
"DeKalb County, Tennessee: Summary level: 050, state:47> county:041",8013,426,8439,5.0,11773,8327,2059,3403.0,9857,9990,3594,45511,41.1
"Lewis County, Tennessee: Summary level: 050, state:47> county:101",4920,133,5053,2.6,6803,5596,1222,2188.0,5823,6204,2471,37277,43.3
"Obion County, Tennessee: Summary level: 050, state:47> county:131",12851,742,13593,5.5,18494,13551,2780,6611.0,14609,15756,6024,39615,42.6
"Tipton County, Tennessee: Summary level: 050, state:47> county:167",27600,1808,29408,6.1,42205,21052,5532,9907.0,30265,31182,8651,61291,37.5
"Dyer County, Tennessee: Summary level: 050, state:47> county:045",16273,1105,17378,6.4,22585,15512,3376,7102.0,18137,19279,6431,44185,40.5
"Hamilton County, Tennessee: Summary level: 050, state:47> county:065",173657,8947,182604,4.9,250667,118311,31269,52208.0,174207,186712,62141,55070,39.7
"Polk County, Tennessee: Summary level: 050, state:47> county:139",7188,539,7727,7.0,9859,7039,1850,2760.0,8366,8448,3449,43306,45.6
"White County, Tennessee: Summary level: 050, state:47> county:185",10438,720,11158,6.5,15581,11433,3004,4863.0,13070,13730,5374,41998,43.2
"Sullivan County, Tennessee: Summary level: 050, state:47> county:163",66728,4388,71116,6.2,97737,70204,12999,32011.0,76345,80705,33753,46684,45.1
"Schoharie County, New York: Summary level: 050, state:36> county:095",14429,817,15246,5.4,22166,13668,1190,5131.0,15500,15722,6553,57714,45.4
"Fulton County, New York: Summary level: 050, state:36> county:035",24632,1326,25958,5.1,33484,25472,2554,8841.0,26800,26846,10211,50482,43.9
"Rensselaer County, New York: Summary level: 050, state:36> county:083",81515,4060,85575,4.7,120423,55330,5892,22035.0,78848,80337,26307,68991,39.8
"Franklin County, New York: Summary level: 050, state:36> county:033",19380,1468,20848,7.0,31304,20365,2335,7219.0,27483,22994,8365,50407,39.9
"Queens County, New York: Summary level: 050, state:36> county:081",1134877,67143,1202020,5.6,1335914,920806,216550,218418.0,1109772,1177616,350514,68666,39.0
"Washington County, New York: Summary level: 050, state:36> county:115",29139,1473,30612,4.8,38957,26123,3194,8733.0,31902,29714,11620,57258,44.2
"New York County, New York: Summary level: 050, state:36> county:061",905475,49633,955108,5.2,1127448,551911,84258,166686.0,772614,859379,264356,86553,37.5
"Cayuga County, New York: Summary level: 050, state:36> county:011",36570,1735,38305,4.5,52515,29549,3737,10797.0,39757,37668,14212,58377,42.9
"Rockland County, New York: Summary level: 050, state:36> county:087",147612,8614,156226,5.5,207700,136517,18094,29290.0,159114,165308,50411,93024,36.0
"Niagara County, New York: Summary level: 050, state:36> county:063",100670,5295,105965,5.0,150597,87484,6839,28941.0,102775,108045,39217,55522,43.2
"Essex County, New York: Summary level: 050, state:36> county:031",17336,912,18248,5.0,25424,15584,1251,5922.0,19504,17955,8525,56763,47.7
"Nassau County, New York: Summary level: 050, state:36> county:059",687898,27645,715543,3.9,1087057,381450,59567,113083.0,660093,696416,236983,116100,41.7
"Schuyler County, New York: Summary level: 050, state:36> county:097",8226,491,8717,5.6,11650,8098,972,3123.0,8965,8955,3727,52327,46.4
"Chenango County, New York: Summary level: 050, state:36> county:017",21649,1370,23019,6.0,31935,22054,2023,9012.0,24003,23906,9677,52002,44.9
"Jefferson County, New York: Summary level: 050, state:36> county:045",43241,2866,46107,6.2,68472,41433,5316,15000.0,59266,53576,14923,52685,32.5
"Suffolk County, New York: Summary level: 050, state:36> county:103",752016,32863,784879,4.2,1158270,448482,69061,141232.0,730427,753405,244871,101031,41.5
"Wyoming County, New York: Summary level: 050, state:36> county:121",18497,1089,19586,5.6,27576,15043,1579,5183.0,21537,18768,6996,58052,42.2
"Oswego County, New York: Summary level: 050, state:36> county:075",54134,4003,58137,6.9,77106,51607,5380,17665.0,59267,59072,18668,55967,40.3
"Wayne County, New York: Summary level: 050, state:36> county:117",44700,2408,47108,5.1,64550,35830,3790,13706.0,44902,45617,16631,59449,43.8
"Broome County, New York: Summary level: 050, state:36> county:007",86505,5749,92254,6.2,131147,82084,7920,29888.0,95077,98111,36107,52226,39.9
"Hinsdale County, Colorado: Summary level: 050, state:08> county:053",384,19,403,4.7,540,359,86,218.0,385,472,210,56339,56.1
"Erie County, New York: Summary level: 050, state:36> county:029",451762,20254,472016,4.3,651361,362754,29138,120246.0,444825,474530,161744,58121,40.3
"Sullivan County, New York: Summary level: 050, state:36> county:105",33008,2662,35670,7.5,47886,32558,4102,11980.0,38485,36631,13928,57426,42.8
"Orange County, New York: Summary level: 050, state:36> county:071",177356,7896,185252,4.3,266160,132997,17832,44674.0,190453,189632,51951,79944,37.0
"Haywood County, North Carolina: Summary level: 050, state:37> county:087",27218,1234,28452,4.3,39999,26498,5982,11167.0,29481,31572,14865,51659,47.6
"Forsyth County, North Carolina: Summary level: 050, state:37> county:067",172626,10206,182832,5.6,247703,128290,40196,38238.0,177935,197260,58469,51569,38.4
"Fayette County, Indiana: Summary level: 050, state:18> county:041",10070,535,10605,5.0,13790,10054,2211,4082.0,11402,11792,4552,46175,42.8
"Lake County, Indiana: Summary level: 050, state:18> county:089",219897,16412,236309,6.9,326219,179281,36499,65648.0,234929,250778,78104,56128,39.1
"Montgomery County, Indiana: Summary level: 050, state:18> county:107",18944,750,19694,3.8,27134,12812,3187,5787.0,19388,18899,6810,55522,40.2
"Adams County, Indiana: Summary level: 050, state:18> county:001",15495,575,16070,3.6,23272,9399,6723,4024.0,17650,17726,5352,52504,33.5
"Clay County, Indiana: Summary level: 050, state:18> county:021",12009,518,12527,4.1,19082,9157,1037,4741.0,12925,13309,4676,55637,41.5
"Dubois County, Indiana: Summary level: 050, state:18> county:037",22529,453,22982,2.0,33597,10699,2014,4762.0,21180,21363,7171,60666,40.3
"Franklin County, Indiana: Summary level: 050, state:18> county:047",11301,295,11596,2.5,17245,7092,1214,2931.0,11230,11544,3993,62462,42.2
"Hancock County, Indiana: Summary level: 050, state:18> county:059",39099,991,40090,2.5,60171,19516,4671,9280.0,37039,38125,11971,74072,39.8
"Howard County, Indiana: Summary level: 050, state:18> county:067",37078,2006,39084,5.1,58124,31458,5796,14192.0,39867,42464,15690,52373,41.7
"Ohio County, Indiana: Summary level: 050, state:18> county:115",2932,50,2982,1.7,4434,1997,296,820.0,2922,2952,1232,60128,47.4
"Parke County, Indiana: Summary level: 050, state:18> county:121",6623,423,7046,6.0,9582,6159,2119,2991.0,8170,8776,3239,52618,43.2
"Randolph County, Indiana: Summary level: 050, state:18> county:135",11372,597,11969,5.0,16276,9982,2313,4198.0,12214,12712,4907,48036,42.6
"Benton County, Indiana: Summary level: 050, state:18> county:007",4177,139,4316,3.2,5695,3314,810,1592.0,4332,4345,1520,49488,40.5
"Brown County, Indiana: Summary level: 050, state:18> county:013",7042,333,7375,4.5,10209,5722,1322,2250.0,7354,7710,3661,61030,50.0
"Putnam County, Indiana: Summary level: 050, state:18> county:133",16558,533,17091,3.1,26162,11429,2046,4365.0,19760,17624,6123,61047,37.9
"Washington County, Indiana: Summary level: 050, state:18> county:175",12238,719,12957,5.5,17975,10946,2435,4858.0,13885,13963,4657,47983,41.6
"Daviess County, Indiana: Summary level: 050, state:18> county:027",14545,549,15094,3.6,17794,9912,8438,4715.0,16687,16433,5029,53629,34.4
"Henry County, Indiana: Summary level: 050, state:18> county:065",19851,1163,21014,5.5,30115,19022,3127,7969.0,25389,22866,8991,49832,42.1
"Knox County, Indiana: Summary level: 050, state:18> county:083",18220,778,18998,4.1,25070,13583,2803,7025.0,18817,18248,6494,47380,37.9
"Madison County, Indiana: Summary level: 050, state:18> county:095",57537,3440,60977,5.6,81365,52843,10285,23041.0,64666,64789,23226,49522,40.4
"Pike County, Indiana: Summary level: 050, state:18> county:125",5650,217,5867,3.7,9008,4579,488,2170.0,6176,6202,2437,50194,43.7
"Pulaski County, Indiana: Summary level: 050, state:18> county:131",5450,372,5822,6.4,8741,4523,910,2113.0,6330,6229,2374,49580,41.6
"Steuben County, Indiana: Summary level: 050, state:18> county:151",17584,586,18170,3.2,24688,11688,2595,4821.0,17548,16905,6746,58279,43.7
"Laramie County, Wyoming: Summary level: 050, state:56> county:021",47158,2549,49707,5.1,73016,28388,7488,12507.0,49857,48463,15274,66910,37.0
"Teton County, Wyoming: Summary level: 050, state:56> county:039",14430,157,14587,1.1,18328,4798,2959,1592.0,12325,10955,3268,84678,39.3
"San Jacinto County, Texas: Summary level: 050, state:48> county:407",10300,699,10999,6.4,13961,12745,5460,6026.0,13797,14383,6227,41614,44.9
"Upshur County, Texas: Summary level: 050, state:48> county:459",17221,971,18192,5.3,24877,13680,6768,7218.0,20139,20879,7350,52162,41.4
"Waller County, Texas: Summary level: 050, state:48> county:473",23441,1288,24729,5.2,32404,12692,10486,6050.0,25844,25988,6013,59642,28.9
"Wilson County, Texas: Summary level: 050, state:48> county:493",21799,1197,22996,5.2,34183,14156,6252,6230.0,24716,24457,7557,76692,40.2
"Hockley County, Texas: Summary level: 050, state:48> county:219",10174,826,11000,7.5,13454,7575,4017,3343.0,11502,11562,3288,48248,33.8
"Midland County, Texas: Summary level: 050, state:48> county:329",85206,2878,88084,3.3,118727,33273,27672,16217.0,85041,83126,17255,79421,31.7
"Llano County, Texas: Summary level: 050, state:48> county:299",7682,609,8291,7.3,12887,10250,3598,5074.0,10356,10691,7656,53411,57.4
"Fannin County, Texas: Summary level: 050, state:48> county:147",13998,553,14551,3.8,19481,10826,5141,4864.0,18246,16291,6398,54648,41.3
"Brazos County, Texas: Summary level: 050, state:48> county:041",106349,4375,110724,4.0,164456,45615,26891,18538.0,112629,110352,19786,49181,26.5
"Gaines County, Texas: Summary level: 050, state:48> county:165",8228,471,8699,5.4,9861,4577,6951,2483.0,10556,10150,1820,63054,27.8
"Gray County, Texas: Summary level: 050, state:48> county:179",9016,527,9543,5.5,11805,7511,4019,3354.0,11819,10591,3546,47952,36.5
"Jack County, Texas: Summary level: 050, state:48> county:237",3172,130,3302,3.9,4633,2868,1390,1330.0,5053,3799,1510,52045,39.6
"Bosque County, Texas: Summary level: 050, state:48> county:035",7711,339,8050,4.2,10723,6922,3097,3292.0,9013,9283,4504,52148,46.6
"Bexar County, Texas: Summary level: 050, state:48> county:029",907686,51192,958878,5.3,1220102,601629,292774,270763.0,964179,988664,231377,57157,33.6
"Baylor County, Texas: Summary level: 050, state:48> county:023",1540,38,1578,2.4,2367,1160,511,683.0,1746,1831,867,40739,45.9
"Denton County, Texas: Summary level: 050, state:48> county:121",453391,18215,471606,3.9,651671,145826,92963,66033.0,410114,423708,82137,86913,35.5
